avg_acc_fold,std_acc_fold,avg_loss_fold,num_units_in_layer1,num_units_in_layer2,num_units_in_layer3,l2_regulizer,dropout_rate,optimizer,num_layers
0.7373040914535522,0.0889594974513662,0.5433721661567688,64.0,64.0,64.0,1e-05,0.2,sgd,2
0.920376181602478,0.0075177034676989,0.2240203142166137,64.0,64.0,64.0,1e-05,0.3,adam,2
0.7841170430183411,0.0587567892716986,0.5176036059856415,64.0,64.0,64.0,1e-05,0.3,sgd,2
0.9170323848724364,0.0071362029182506,0.2307623356580734,64.0,64.0,64.0,1e-05,0.4,adam,2
0.6831766128540039,0.0692354070501891,0.5994051158428192,64.0,64.0,64.0,1e-05,0.4,sgd,2
0.9184952974319458,0.0060929308932145,0.2235576093196868,64.0,64.0,64.0,1e-05,0.5,adam,2
0.7299895405769348,0.0765546598266982,0.5586905717849732,64.0,64.0,64.0,1e-05,0.5,sgd,2
0.9143155694007874,0.0072092686061275,0.2213180720806122,64.0,64.0,64.0,1e-05,0.6,adam,2
0.6401253938674927,0.0674174802105039,0.6340216159820556,64.0,64.0,64.0,1e-05,0.6,sgd,2
0.9281086683273316,0.0053852143334626,0.2354971438646316,64.0,64.0,64.0,1e-06,0.1,adam,2
0.8319749116897583,0.0092143807918858,0.4368139266967773,64.0,64.0,64.0,1e-06,0.1,sgd,2
0.9138975858688354,0.0103569538222813,0.2392454147338867,64.0,64.0,64.0,1e-06,0.2,adam,2
0.7908045887947083,0.0676399638178846,0.4957620620727539,64.0,64.0,64.0,1e-06,0.2,sgd,2
0.9197492122650146,0.0070375795463062,0.2253488063812256,64.0,64.0,64.0,1e-06,0.3,adam,2
0.8294670939445495,0.0034593479031823,0.4605204045772552,64.0,64.0,64.0,1e-06,0.3,sgd,2
0.91327064037323,0.0115982640616114,0.2281725883483886,64.0,64.0,64.0,1e-06,0.4,adam,2
0.7983281135559082,0.0317631779985002,0.4970341503620147,64.0,64.0,64.0,1e-06,0.4,sgd,2
0.9157784819602968,0.0113239036402162,0.2310512632131576,64.0,64.0,64.0,1e-06,0.5,adam,2
0.6693834900856018,0.0724722039878122,0.6110030293464661,64.0,64.0,64.0,1e-06,0.5,sgd,2
0.9174503564834596,0.0059110322833906,0.2138336807489395,64.0,64.0,64.0,1e-06,0.6,adam,2
0.649111807346344,0.05837944380171,0.6287608861923217,64.0,64.0,64.0,1e-06,0.6,sgd,2
0.5962382555007935,0.010165418166026,0.6746308922767639,128.0,64.0,64.0,1.0,0.1,adam,2
0.5962382555007935,0.010165418166026,2.110410976409912,128.0,64.0,64.0,1.0,0.1,sgd,2
0.5962382555007935,0.010165418166026,0.6745768904685974,128.0,64.0,64.0,1.0,0.2,adam,2
0.5962382555007935,0.010165418166026,2.2241124153137206,128.0,64.0,64.0,1.0,0.2,sgd,2
0.5962382555007935,0.010165418166026,0.6746937513351441,128.0,64.0,64.0,1.0,0.3,adam,2
0.5962382555007935,0.010165418166026,1.799644374847412,128.0,64.0,64.0,1.0,0.3,sgd,2
0.5962382555007935,0.010165418166026,0.6746891975402832,128.0,64.0,64.0,1.0,0.4,adam,2
0.5962382555007935,0.010165418166026,2.110107898712158,128.0,64.0,64.0,1.0,0.4,sgd,2
0.5962382555007935,0.010165418166026,0.6746933698654175,128.0,64.0,64.0,1.0,0.5,adam,2
